Anio,Mes,Rep,Reg I,Reg II,Reg III,Reg IV,Reg V,Reg VI,Reg VII,Reg VIII
2022,Enero,153.14,130.36,223.78,144.49,212.98,141.1,139.86,205.68,156.42
2022,Febrero,153.79,131.14,225.34,145.29,214.11,141.06,139.99,206.62,156.92
2022,Marzo,156.09,133.13,227.69,148.36,217.01,143.74,141.93,209.72,158.34
2022,Abril,156.93,134.01,229.18,149.36,217.45,144.43,142.74,210.09,160.11
2022,Mayo,158.98,135.93,230.4,151.31,218.93,147.17,145.27,211.97,161.86
2022,Junio,161.89,136.68,239.08,153.02,226.94,148.61,147.77,220.36,163.81
2022,Julio,163.64,137.13,245.7,154.63,227.57,150.37,149.27,225.71,165.69
2022,Agosto,164.76,137.96,249.4,155.34,228.73,151.26,150.8,225.93,167.41
2022,Septiembre,165.35,139.06,249.05,155.98,229.96,152.18,150.48,225.54,169.12
2022,Octubre,166.97,140.63,250.41,157.69,233.71,153.58,151.47,227.54,170.62
2022,Noviembre,166.96,141.15,248.03,157.66,234.16,153.8,152.16,225.05,170.3
2022,Diciembre,167.35,141.48,247.87,158.65,235.01,154.16,152.78,224.7,170.72
2023,Enero,167.98,141.5,251.13,158.84,234.63,154.39,153.8,227.34,170.44
2023,Febrero,169.05,140.94,257.22,158.73,236.03,154.91,154.9,232.92,172
2023,Marzo,169.69,140.95,259.3,159.78,237.7,155.45,155.55,234.5,172.06
2023,Abril,169.98,141.87,257.6,160.22,236.98,155.76,155.56,234.72,172.18
2023,Mayo,169.37,141.06,254.8,160.16,237.93,155.24,154.98,234.15,172.32
2023,Junio,169.87,140.99,257.91,159.97,240.12,155.01,155.42,235.72,172.82
2023,Julio,171.06,141.53,264.64,161.34,242.17,155.48,155.8,238.29,173.3
2023,Agosto,172.13,142,266.53,162.08,243.79,156.64,157.35,239.98,174.66
2023,Septiembre,173.1,142.38,265.1,162.84,243.94,158.38,159.52,241.05,177.84
2023,Octubre,175.29,143.28,265.14,164.58,246.65,160.36,162.22,248.21,181.38
2023,Noviembre,174.14,143.45,263.61,162.45,246.17,159.31,160.7,243.57,179.04
2023,Diciembre,174.34,143.7,267.15,162.35,247.01,159.41,161.12,241.25,179
2024,Enero,100.026406,100.060174,100.099195,100.010004,99.756192,100.04629,100.094418,99.862106,100.214783
2024,Febrero,100.165959,100.429883,100.087297,100.08904,100.197015,100.044217,100.09986,99.940547,100.304181
2024,Marzo,100.475063,101.01735,100.10023,100.331183,100.543805,100.391769,100.389373,100.09167,100.589087
2024,Abril,100.77256887433562,101.3787352171957,100.35816918616716,100.86244350665301,100.8780149604933,100.6417794440134,100.56470359879147,100.34413389450005,100.72841722097728
2024,Mayo,100.80127635792577,100.89520901649095,100.66670734999767,100.85453221803692,101.03644053770897,100.48135764284326,100.66758443448771,100.65663969379567,100.93102199689349
2024,Junio,100.96220819267646,100.8536780197589,101.14316326047634,100.97285311280832,101.03967114224139,100.63503156166576,100.86923847464124,101.02262876560536,100.99703447956911
2024,Julio,101.82905040082821,101.31268338203903,102.54632823300842,101.34047550969322,101.64390790449474,101.65403765707447,101.92773372843384,102.57339834320193,101.63271242746178
2024,Agosto,101.765591462901,101.322649393614,102.513552480212,101.267364456549,101.624864417793,101.488273038145,101.888499462866,102.293274514026,101.669063733758
2024,Septiembre,101.38187540336,101.063277528834,102.046266776285,100.825661424293,101.419030964876,101.178116028812,101.386419168331,101.759847549453,101.265839678037
2024,Octubre,101.715458684502,101.383983225648,102.228441369092,100.777915108421,101.565055371236,101.728612767351,101.419118077662,102.658241238328,101.8122568829
2024,Noviembre,101.54304748944,101.169554949111,102.245413959584,100.558507085053,101.295500221522,101.542103033315,101.287663348894,102.32574054321,101.753752409068
2024,Diciembre,101.702855111367,101.155885142026,103.012427386295,100.649140930874,101.225660176873,101.827056339043,101.409337610232,102.63740015604,101.678787362818
